aisle,items,uniqueItems,contained,satOrders,isUsed,rareness
0,2340,341,0,645,True,53.70514197204957
1,1283,178,0,286,False,26.162492233980718
2,1580,261,0,493,False,43.62172526389641
3,992,153,0,193,False,33.432869337789
4,1429,262,0,515,False,37.55603064789516
5,2364,106,0,212,False,46.29567355884793
6,426,71,0,99,False,10.146640800162787
7,501,59,0,140,False,12.015064709803521
8,543,151,0,292,False,19.295024612065088
9,263,61,0,124,False,5.767489986502715
10,1186,80,0,118,False,35.954622092709634
11,100,1,0,3,False,0.029180028165088426
12,19,7,0,19,False,1.6470690115277902
13,8,6,0,7,False,2.3620210578961873
14,4,1,0,3,False,0.14814765432263374
15,884,227,1,406,False,44.462376428263696
16,1108,145,0,261,False,16.572342127086937
17,2322,321,0,563,False,48.35230529098656
18,1401,198,0,285,False,36.71025021037543
19,1012,139,0,159,False,35.57719211618955
20,1189,254,0,387,False,66.10466721574623
21,1327,260,0,472,False,37.70676011450496
22,2769,75,0,138,False,20.817484283421944
23,593,52,0,82,False,21.72472486150043
24,270,57,0,89,False,7.2597128331551515
25,87,16,0,16,False,7.112667945235953
26,28,1,0,1,False,0.12280681286583822
27,20,9,1,21,False,2.5789708988875777
28,16,6,0,9,False,1.2874230005495904
29,1121,172,0,271,False,29.308474886243612
30,2034,302,1,571,False,63.960970591789966
31,2237,323,0,596,False,74.87038223049514
32,950,137,0,190,False,24.47763058340186
33,1608,251,0,427,False,45.779575578540765
34,789,131,0,180,False,24.05240550956197
35,1132,188,0,454,False,32.100990841890855
36,238,50,0,77,False,6.479345745864938
37,584,56,0,111,False,13.356193455139065
38,2387,2,0,4,False,0.16828827198775836
39,94,10,1,19,False,1.3356027022358845
40,18,11,1,43,False,0.4505749351273999
41,18,15,2,20,False,1.8144888619257897
42,2274,333,2,640,False,48.5982818630147
43,1234,176,0,301,False,25.743407153090736
44,1060,154,0,219,False,37.687941534150546
45,1871,299,0,449,False,65.86199052779291
46,1355,242,0,483,False,33.05736378595809
47,384,60,0,119,False,9.018313862288792
48,1559,103,0,196,False,37.6447912314657
49,256,54,0,106,False,3.895223121215956
50,1425,66,0,92,False,25.696288716691924
51,946,59,0,158,False,13.122644287603944
52,919,193,0,352,False,22.943129487555552
53,18,5,0,14,False,0.44760452500696507
54,5,2,0,3,False,0.19380888666878454
55,22,9,0,37,False,0.5648496292443212
56,811,165,0,266,False,20.845053539267028
57,2834,53,0,172,False,13.165543351734389
58,2124,353,0,651,False,59.36504382688522
59,886,148,0,223,False,22.90810572272151
60,489,110,0,159,False,14.494701854894702
61,830,102,0,116,False,24.051807409843402
62,1601,106,0,202,False,36.876811434715115
63,1761,305,0,510,False,45.603948373519856
64,305,69,0,120,False,6.074240082782734
65,588,56,0,86,False,22.592844262366846
66,898,112,0,249,False,21.9764930007898
67,94,18,0,26,False,7.023168444450173
68,2,2,0,2,False,1.0083233195444665
69,81,2,0,6,False,0.42110934692202184
70,28,5,0,18,False,0.07149975783602067
71,7,6,0,8,False,0.04405382028233418
72,4,3,0,13,False,0.011264348876431837
73,2160,318,0,572,False,55.918576733927395
74,1056,160,0,242,False,28.028461493418654
75,1878,313,1,565,False,49.472457319548155
76,1413,190,0,300,False,45.651436256914934
77,1421,259,0,496,False,40.53609254725075
78,748,133,0,226,False,26.63513359861629
79,1360,266,0,511,False,58.56094156183982
80,710,53,0,83,False,11.688603286738578
81,955,49,0,104,False,12.416356094651986
82,324,64,0,89,False,5.966747864062452
83,6,3,0,14,False,0.13061912766887546
84,3,2,0,2,False,0.33333180556273145
85,2158,351,1,624,False,49.260819681116494
86,971,167,0,292,False,30.96700921933273
87,1067,157,0,225,False,31.03018958934148
88,1905,296,0,562,False,52.344807764560414
89,1807,103,0,185,False,41.625331716118886
90,487,71,0,107,False,9.876415904331282
91,2105,298,0,558,False,47.11551178043795
92,1009,217,0,457,False,27.726640462432876
93,939,61,0,98,False,24.524660854498055
94,628,56,0,93,False,12.517626859811338
95,404,57,0,120,False,5.315229193882404
96,20,5,0,24,False,0.4414511284368024
97,2,2,0,3,False,0.08666624777986257
98,2,2,0,2,False,0.028496450317966847
99,960,126,0,187,False,25.56649892911021
100,866,147,0,243,False,19.941026810274845
101,1776,312,1,546,False,44.05153083230347
102,1472,265,0,439,False,39.96132305089271
103,543,73,0,78,False,13.91565761676511
104,505,62,0,112,False,8.553649894274335
105,1564,278,0,580,False,48.738478386252964
106,1924,119,0,258,False,48.324246633127636
107,1102,32,0,61,False,8.656787118975165
108,1377,56,0,136,False,9.111866456162431
109,470,129,1,281,False,21.351346327542416
110,206,32,0,84,False,3.6818992451126795
111,10,1,0,1,False,0.4545431818295454
112,52,11,0,23,False,4.606662414783502
113,19,9,1,13,False,0.34917097308565714
114,5,3,0,3,False,0.27228132334961835
115,179,55,0,81,False,27.026571205188308
116,1002,144,0,203,False,27.409327581889826
117,2362,321,0,589,False,58.572958694090566
118,1310,166,0,275,False,35.73793635091496
119,1673,279,0,538,False,42.43681657511739
120,921,127,0,170,False,18.47692440211751
121,1184,50,0,85,False,8.92682192288673
122,1551,234,0,449,False,37.18647996463098
123,301,73,0,110,False,5.658593041379061
124,691,91,0,159,False,29.485217890087362
125,1,1,0,1,False,0.004444441481483457
126,122,1,0,36,False,0.22592536111252315
127,30,3,0,7,False,2.0037678755443533
128,14,7,0,9,False,1.1705963969312976
129,1091,158,0,252,False,35.93710404826619
130,2307,304,1,549,False,45.13436470417656
131,1242,182,0,262,False,41.1237680774723
132,1533,253,0,474,False,40.9713376310049
133,612,81,0,133,False,8.238317245859168
134,1698,277,0,502,False,52.320180580867074
135,1864,101,0,206,False,53.28401460418149
136,1163,76,0,120,False,23.512738681769154
137,1692,167,0,414,False,68.67682482833185
138,1302,221,0,461,False,31.70037707668222
139,320,63,0,118,False,4.623933210024858
140,8,1,0,2,False,0.010025057882804517
141,54,5,0,11,False,1.2562388792719452
142,14,9,0,12,False,1.4740825557411639
143,6,4,0,4,False,1.0751333431353387
144,1880,308,0,625,False,50.942065853458196
145,1293,176,0,269,False,37.14632259340744
146,1618,268,0,526,False,43.20487536278031
147,866,145,0,206,False,40.448713850144955
148,418,65,0,101,False,4.502992981156913
149,1371,288,0,562,False,53.270176276588906
150,2425,112,0,183,False,45.100165454795274
151,463,119,0,170,False,24.150850466954324
152,552,36,0,55,False,13.326352867178278
153,610,154,0,365,False,27.53243633275871
154,374,27,0,49,False,4.264601126474865
155,14,6,0,14,False,2.3369983019945306
156,14,7,1,15,False,0.490516821245699
157,17,6,0,14,False,2.1491860715228315
158,901,157,0,278,False,27.3061528876888
159,144,59,0,82,False,33.778133754926124
160,1948,323,1,633,False,52.27184197501815
161,1187,187,0,351,False,52.73240053198892
162,1636,285,0,498,False,54.102120362061996
163,829,115,0,141,False,30.261398338385472
164,1434,242,0,495,False,38.15217175390301
165,1110,59,0,146,False,15.268044091521272
166,121,16,0,17,False,15.99984000159998
167,305,60,0,94,False,7.6874740068686185
168,2,1,0,1,False,0.015872998236351167
169,14,10,1,22,False,0.2182242064886128
170,13,9,1,12,False,2.4593830435643276
171,1111,172,0,269,False,36.16083542865371
172,1959,305,0,559,False,42.835281583781644
173,1020,172,0,259,False,34.86238875697173
174,1663,280,0,562,False,43.500827262702465
175,1687,285,0,532,False,56.16427574048236
176,613,81,0,122,False,11.437950713175727
